ID,designation_header,strain_number_header,is_type_strain_header,species,Genome seq. accession number,Oxygen tolerance
11696,6,"DSM 22841, ATCC 14385, CCUG 3713, CIP 102677, NCTC 3438, Lovell 6, CCM 3838",1,Avibacterium volantium,762.5,microaerophile
,,,,,GCA_900635775,
1604,,"CCUG 4942, JCM 5828, CIP 103695, KCTC 5204, DSM 6597, ATCC 8492, VPI 0061, CGMCC 1.5133, NCTC 13054",1,Bacteroides uniformis,2693429911,microaerophile
,,,,,2904834026,
,,,,,2916274279,
,,,,,411479.1,
,,,,,411479.31,
,,,,,411479.32,
,,,,,641380447,
,,,,,820.37,
,,,,,820.508,
,,,,,820.5953,
1634,,"DSM 21432, CCUG 45774, CIP 105477, IBS 382",1,Bartonella alsatica,52764.3,microaerophile
,,,,,52764.4,
,,,,,GCA_013388295,
,,,,,GCA_902728125,
1637,91-4,"DSM 21464, CCUG 43828, CIP 106692",1,Bartonella bovis,1094491.5,microaerophile
,,,,,155194.4,
,,,,,2597489901,
,,,,,GCA_000384965,
,,,,,GCA_902728095,
23782,BR11-1,"DSM 28538, JCM 17709, KCTC 23909",1,Bartonella callosciuri,2861730104,microaerophile
,,,,,686223.3,
,,,,,GCA_014203215,
1638,,"DSM 21569, CCUG 43827, CIP 106691, IBS 193",1,Bartonella capreoli,155192.3,microaerophile
,,,,,GCA_902813205,
1639,A828,"DSM 21431, CCUG 47497, CIP 107869",1,Bartonella chomelii,236402.3,microaerophile
,,,,,2829854532,
,,,,,GCA_014138465,
131133,R18,"DSM 102055, NCTC 12862, CCUG 50770, CIP 107026, NCTC 12682",1,Bartonella doshiae,1094553.3,microaerophile
,,,,,2519899787,
,,,,,2808606804,
,,,,,2861153995,
,,,,,33044.1,
,,,,,33044.5,
,,,,,33044.6,
,,,,,GCA_000278155,
,,,,,GCA_000526895,
,,,,,GCA_014201435,
23785,R4,"DSM 23735, CSUR B627",1,Bartonella florencae,GCA_000312525,microaerophile
23777,"G5436, Houston-1","DSM 28221, ATCC 49882, CCUG 30454, CIP 103737",1,Bartonella henselae,2826296999,microaerophile
,,,,,283166.41,
,,,,,283166.5,
,,,,,38323.36,
,,,,,38323.42,
,,,,,38323.44,
,,,,,38323.45,
,,,,,38323.46,
,,,,,637000027,
,,,,,GCA_000046705,
1643,,"DSM 23650, CIP 109861, JCM 15567, Fuji 18-1",1,Bartonella japonica,2928252644,microaerophile
1635,C-29,"DSM 21570, ATCC 700693, CIP 107025, CCUG 50773",1,Bartonella koehlerae,1134510.3,microaerophile
,,,,,1134510.4,
,,,,,2588253861,
,,,,,GCA_000706625,
,,,,,GCA_902825125,
138801,16120,"CIP 107707, CCUG 51222",1,Bartonella phoceensis,270249.3,microaerophile
,,,,,GCA_902825145,
139102,Toulouse,"CIP 103739, CCUG 45777",0,Bartonella quintana,803.7,microaerophile
,,,,,GCA_902810555,
1642,AUST/NH4,"DSM 23500, CCUG 52161, CIP 109051, CSUR B609",1,Bartonella rattaustraliani,1205681.4,microaerophile
,,,,,2551306134,
,,,,,GCA_000312565,
1632,"E251, R1","DSM 13525, CCUG 50783, CIP 107819, NCTC 13165",1,Bartonella schoenbuchensis,165694.3,microaerophile
,,,,,2773858026,
,,,,,687861.4,
,,,,,GCA_002022685,
,,,,,GCA_902810545,
1644,,"DSM 23649, CIP 109862, JCM 15566, Fuji 23-1",1,Bartonella silvatica,2928179098,microaerophile
146145,Baker,"CCUG 30453, ATCC VR-152, CIP 103738, ATCC 152-VR",1,Bartonella vinsonii,110577.3,microaerophile
,,,,,GCA_902825235,
23780,"OK 94-513, 94-513","DSM 28218, ATCC 700727, CCUG 50775, CIP 106848",1,Bartonella vinsonii subsp. arupensis,1094562.4,microaerophile
,,,,,GCA_902825115,
23778,"93-CO1, 93-C01","DSM 28220, ATCC 51672, CCUG 45779, CIP 104960",1,Bartonella vinsonii subsp. berkhoffii,1408318.3,microaerophile
,,,,,1408318.6,
,,,,,2545555862,
,,,,,GCA_000518105,
,,,,,GCA_902825225,
