ID,Species,"Culture collection number","Isolation source",Country,Continent,"Category 1","Category 2","Category 3"
106,,,,,,#Condition,#Sulfuric,
106,,,,,,#Condition,#Acidic,
106,,,,,,#Environmental,#Aquatic,"#Thermal spring"
106,,,,,,#Condition,"#Thermophilic (>45°C)",
26,"Acidiphilium cryptum","DSM 2389, ATCC 33463, JCM 21277, IAM 14719, IFO 14242, NBRC 14242, NCIMB 11690","Culture of <I>Thiobacillus ferrooxidans</I>, originally grown by W. W. Leathen from coal mine water###coal mine water",USA,"North America",#Environmental,#Terrestrial,#Geologic
26,,,,,,#Environmental,#Aquatic,
26,,,,,,#Engineered,#Other,#Mine
26,,,,,,#Environmental,#Terrestrial,#Geologic
26,,,,,,#Environmental,#Aquatic,
26,,,,,,#Engineered,#Other,#Mine
27,"Acidiphilium cryptum","DSM 2390","copper mine effluent",USA,"North America",#Environmental,#Terrestrial,#Geologic
27,,,,,,#Engineered,#Waste,#Wastewater
27,,,,,,#Engineered,#Other,#Mine
28,"Acidiphilium cryptum","DSM 2613","acid mine water",Japan,Asia,#Condition,#Acidic,
28,,,,,,#Environmental,#Aquatic,
28,,,,,,#Engineered,#Other,#Mine
31,"Acidiphilium multivorum","DSM 11245, JCM 8867, NBRC 100785, NBRC 100883","Acid mine drainage at the abandoned Matsuo sulfur-pyrite mine###acid mine water",Japan,Asia,#Condition,#Acidic,
31,,,,,,#Environmental,#Aquatic,
31,,,,,,#Engineered,#Other,#Mine
31,,,,,,#Condition,#Acidic,
31,,,,,,#Environmental,#Aquatic,
31,,,,,,#Engineered,#Other,#Mine
131572,"Acidiphilium sp.","DSM 24941","naturally acidic, metal-rich river",Spain,Europe,#Condition,#Acidic,
131572,,,,,,#Environmental,#Aquatic,"#River (Creek)"
132249,"Acidipila rosea","DSM 103428, KCTC 23427, NBRC 107607","acid mine drainage",Japan,Asia,#Condition,#Acidic,
132249,,,,,,#Environmental,#Aquatic,
132249,,,,,,#Engineered,#Other,#Mine
